  4.963166E+01  4.898711E-06 -2.192708E-09
  7.102505E+01  1.254661E-05  1.076987E-07
  7.956868E+01  2.738045E-05  5.518080E-06
  8.367621E+01  5.189508E-05  4.740966E-05
  8.611461E+01  8.833032E-05  1.774102E-04
  8.782060E+01  1.385443E-04  4.251529E-04
  8.915363E+01  2.042170E-04  7.855032E-04
  9.027065E+01  2.872643E-04  1.235639E-03
  9.124873E+01  3.900921E-04  1.752067E-03
  9.212982E+01  5.155689E-04  2.317871E-03
  9.293894E+01  6.668230E-04  2.923290E-03
  9.369228E+01  8.470108E-04  3.563854E-03
  9.440102E+01  1.059145E-03  4.238313E-03
  9.507335E+01  1.306002E-03  4.947103E-03
  9.571555E+01  1.590102E-03  5.691384E-03
  9.633260E+01  1.913731E-03  6.472515E-03
  9.692855E+01  2.278979E-03  7.291783E-03
  9.750681E+01  2.687796E-03  8.150302E-03
  9.807022E+01  3.142025E-03  9.048984E-03
  1.033041E+02  1.055178E-02  2.033419E-02
  1.085830E+02  2.416008E-02  3.578839E-02
  1.145203E+02  4.474453E-02  5.516717E-02
  1.214245E+02  7.205144E-02  7.810860E-02
  1.294273E+02  1.048849E-01  1.041802E-01
  1.385409E+02  1.414912E-01  1.328808E-01
  1.487006E+02  1.800191E-01  1.636396E-01
  1.598000E+02  2.188616E-01  1.958335E-01
  1.717158E+02  2.568113E-01  2.288248E-01
  1.843239E+02  2.930681E-01  2.620066E-01
  1.975060E+02  3.271712E-01  2.948422E-01
  2.111532E+02  3.589101E-01  3.268897E-01
  2.251661E+02  3.882427E-01  3.578108E-01
  2.394543E+02  4.152327E-01  3.873672E-01
  2.539357E+02  4.400044E-01  4.154090E-01
  2.685357E+02  4.627126E-01  4.418594E-01
  2.831868E+02  4.835236E-01  4.666987E-01
  2.978280E+02  5.026029E-01  4.899492E-01
  4.342634E+02  6.272981E-01  6.514164E-01
  5.377504E+02  6.870353E-01  7.345102E-01
  6.042406E+02  7.181895E-01  7.816741E-01
  6.389249E+02  7.344548E-01  8.106514E-01
  6.492640E+02  7.419865E-01  8.294676E-01
  6.424188E+02  7.439815E-01  8.421975E-01
  6.243246E+02  7.422926E-01  8.511069E-01
  5.994983E+02  7.380884E-01  8.575443E-01
  5.711736E+02  7.321550E-01  8.623549E-01
  5.415511E+02  7.250479E-01  8.660887E-01
  5.120573E+02  7.171729E-01  8.691134E-01
  4.835659E+02  7.088333E-01  8.716790E-01
  4.565714E+02  7.002581E-01  8.739568E-01
  4.313162E+02  6.916208E-01  8.760638E-01
  4.078809E+02  6.830523E-01  8.780792E-01
  3.862459E+02  6.746497E-01  8.800551E-01
  3.663332E+02  6.664838E-01  8.820245E-01
  3.480335E+02  6.586047E-01  8.840064E-01
  2.281960E+02  5.983717E-01  9.045794E-01
  1.690822E+02  5.654403E-01  9.227324E-01
  1.346539E+02  5.476148E-01  9.361094E-01
  1.121565E+02  5.376075E-01  9.454485E-01
  9.628121E+01  5.317900E-01  9.519574E-01
  8.446114E+01  5.283296E-01  9.565686E-01
  7.530697E+01  5.262552E-01  9.599067E-01
  6.800101E+01  5.250257E-01  9.623773E-01
  6.203016E+01  5.243261E-01  9.642444E-01
  5.705594E+01  5.239659E-01  9.656826E-01
  5.284582E+01  5.238264E-01  9.668099E-01
  4.923474E+01  5.238316E-01  9.677072E-01
  4.610215E+01  5.239319E-01  9.684315E-01
  4.335801E+01  5.240940E-01  9.690237E-01
  4.093359E+01  5.242957E-01  9.695133E-01
  3.877557E+01  5.245217E-01  9.699224E-01
  3.684191E+01  5.247615E-01  9.702675E-01
  3.509900E+01  5.250078E-01  9.705610E-01
  2.397696E+01  5.272364E-01  9.720489E-01
  1.832943E+01  5.287555E-01  9.725521E-01
  1.489216E+01  5.297654E-01  9.727628E-01
  1.256265E+01  5.304605E-01  9.728524E-01
  1.085595E+01  5.309559E-01  9.728860E-01
  9.523793E+00  5.313190E-01  9.728904E-01
  8.429710E+00  5.315914E-01  9.728752E-01
  7.497016E+00  5.317999E-01  9.728438E-01
  6.682433E+00  5.319624E-01  9.727986E-01
  5.961175E+00  5.320913E-01  9.727425E-01
  5.318369E+00  5.321951E-01  9.726782E-01
  4.744250E+00  5.322799E-01  9.726084E-01
  4.231585E+00  5.323503E-01  9.725353E-01
  3.774388E+00  5.324093E-01  9.724608E-01
  3.367321E+00  5.324593E-01  9.723861E-01
  3.005450E+00  5.325022E-01  9.723125E-01
  2.684172E+00  5.325394E-01  9.722404E-01
  2.399199E+00  5.325717E-01  9.721705E-01
  8.362377E-01  5.327547E-01  9.716106E-01
  3.361699E-01  5.328326E-01  9.712549E-01
  1.533327E-01  5.328753E-01  9.710187E-01
  7.735879E-02  5.329023E-01  9.708524E-01
  4.227528E-02  5.329208E-01  9.707296E-01
  2.463191E-02  5.329343E-01  9.706354E-01
  1.512173E-02  5.329446E-01  9.705609E-01
  9.693953E-03  5.329526E-01  9.705005E-01
  6.444594E-03  5.329591E-01  9.704507E-01
  4.419113E-03  5.329645E-01  9.704089E-01
  3.112067E-03  5.329690E-01  9.703733E-01
  2.242983E-03  5.329728E-01  9.703426E-01
  1.649796E-03  5.329761E-01  9.703159E-01
  1.235486E-03  5.329790E-01  9.702924E-01
  9.401385E-04  5.329815E-01  9.702716E-01
  7.257191E-04  5.329837E-01  9.702531E-01
  5.674803E-04  5.329857E-01  9.702365E-01
  4.489610E-04  5.329875E-01  9.702216E-01
