  4.823807E+01  5.352819E-06 -2.193392E-09
  6.661383E+01  1.369779E-05  1.042551E-07
  7.274014E+01  2.988499E-05  5.382966E-06
  7.498305E+01  5.666918E-05  4.657495E-05
  7.591679E+01  9.672382E-05  1.752220E-04
  7.635709E+01  1.526861E-04  4.215019E-04
  7.659264E+01  2.272180E-04  7.808376E-04
  7.673701E+01  3.230359E-04  1.230640E-03
  7.683901E+01  4.428956E-04  1.747372E-03
  7.692118E+01  5.895591E-04  2.313953E-03
  7.699458E+01  7.657657E-04  2.920453E-03
  7.706494E+01  9.742108E-04  3.562274E-03
  7.713543E+01  1.217532E-03  4.238087E-03
  7.720791E+01  1.498297E-03  4.948281E-03
  7.728355E+01  1.819001E-03  5.693994E-03
  7.736317E+01  2.182065E-03  6.476571E-03
  7.744734E+01  2.589834E-03  7.297293E-03
  7.753653E+01  3.044583E-03  8.157266E-03
  7.763111E+01  3.548521E-03  9.057402E-03
  7.892696E+01  1.173228E-02  2.035744E-02
  8.097727E+01  2.672587E-02  3.583054E-02
  8.390135E+01  4.929083E-02  5.523627E-02
  8.775614E+01  7.901501E-02  7.821284E-02
  9.253351E+01  1.144755E-01  1.043249E-01
  9.817245E+01  1.536973E-01  1.330669E-01
  1.045784E+02  1.946645E-01  1.638635E-01
  1.116424E+02  2.356779E-01  1.960883E-01
  1.192546E+02  2.754995E-01  2.291011E-01
  1.273129E+02  3.133402E-01  2.622938E-01
  1.357252E+02  3.487712E-01  2.951290E-01
  1.444107E+02  3.816217E-01  3.271644E-01
  1.532981E+02  4.118888E-01  3.580614E-01
  1.623251E+02  4.396707E-01  3.875818E-01
  1.714363E+02  4.651203E-01  4.155762E-01
  1.805831E+02  4.884151E-01  4.419686E-01
  1.897222E+02  5.097395E-01  4.667402E-01
  1.988156E+02  5.292730E-01  4.899146E-01
  2.816272E+02  6.567976E-01  6.504215E-01
  3.417240E+02  7.181791E-01  7.326326E-01
  3.780935E+02  7.507402E-01  7.790696E-01
  3.948087E+02  7.684322E-01  8.073766E-01
  3.968950E+02  7.774665E-01  8.255138E-01
  3.889430E+02  7.810294E-01  8.375300E-01
  3.746554E+02  7.809415E-01  8.456869E-01
  3.567917E+02  7.783344E-01  8.513395E-01
  3.372874E+02  7.739591E-01  8.553433E-01
  3.174294E+02  7.683409E-01  8.582600E-01
  2.980259E+02  7.618613E-01  8.604689E-01
  2.795502E+02  7.548058E-01  8.622311E-01
  2.622494E+02  7.473912E-01  8.637273E-01
  2.462238E+02  7.397840E-01  8.650832E-01
  2.314821E+02  7.321124E-01  8.663847E-01
  2.179787E+02  7.244746E-01  8.676894E-01
  2.056381E+02  7.169447E-01  8.690340E-01
  1.943711E+02  7.095783E-01  8.704405E-01
  1.224112E+02  6.493604E-01  8.879158E-01
  8.823426E+01  6.117147E-01  9.063187E-01
  6.882344E+01  5.881115E-01  9.212575E-01
  5.637403E+01  5.725835E-01  9.324460E-01
  4.771995E+01  5.618909E-01  9.407078E-01
  4.135743E+01  5.542559E-01  9.468605E-01
  3.648376E+01  5.486499E-01  9.515148E-01
  3.263178E+01  5.444441E-01  9.550963E-01
  2.951120E+01  5.412353E-01  9.578982E-01
  2.693213E+01  5.387545E-01  9.601236E-01
  2.476515E+01  5.368163E-01  9.619157E-01
  2.291900E+01  5.352895E-01  9.633768E-01
  2.132751E+01  5.340793E-01  9.645812E-01
  1.994151E+01  5.331154E-01  9.655840E-01
  1.872371E+01  5.323454E-01  9.664265E-01
  1.764533E+01  5.317293E-01  9.671402E-01
  1.668377E+01  5.312364E-01  9.677493E-01
  1.582108E+01  5.308428E-01  9.682726E-01
  1.041947E+01  5.296120E-01  9.709859E-01
  7.761289E+00  5.299313E-01  9.719049E-01
  6.180285E+00  5.304367E-01  9.722880E-01
  5.128587E+00  5.308903E-01  9.724594E-01
  4.370724E+00  5.312587E-01  9.725360E-01
  3.788545E+00  5.315497E-01  9.725653E-01
  3.317942E+00  5.317784E-01  9.725663E-01
  2.922972E+00  5.319585E-01  9.725471E-01
  2.583119E+00  5.321013E-01  9.725121E-01
  2.286336E+00  5.322155E-01  9.724651E-01
  2.025153E+00  5.323077E-01  9.724095E-01
  1.794528E+00  5.323831E-01  9.723481E-01
  1.590704E+00  5.324452E-01  9.722832E-01
  1.410622E+00  5.324969E-01  9.722165E-01
  1.251640E+00  5.325404E-01  9.721496E-01
  1.111401E+00  5.325773E-01  9.720834E-01
  9.877763E-01  5.326089E-01  9.720186E-01
  8.788406E-01  5.326361E-01  9.719556E-01
  2.953449E-01  5.327816E-01  9.714507E-01
  1.156956E-01  5.328369E-01  9.711306E-01
  5.172167E-02  5.328647E-01  9.709185E-01
  2.566979E-02  5.328811E-01  9.707695E-01
  1.383486E-02  5.328918E-01  9.706595E-01
  7.964671E-03  5.328993E-01  9.705752E-01
  4.838025E-03  5.329048E-01  9.705087E-01
  3.072202E-03  5.329090E-01  9.704548E-01
  2.024974E-03  5.329123E-01  9.704104E-01
  1.377712E-03  5.329150E-01  9.703730E-01
  9.632605E-04  5.329172E-01  9.703413E-01
  6.896432E-04  5.329190E-01  9.703139E-01
  5.041180E-04  5.329206E-01  9.702902E-01
  3.753335E-04  5.329219E-01  9.702693E-01
  2.840547E-04  5.329231E-01  9.702508E-01
  2.181447E-04  5.329241E-01  9.702343E-01
  1.697515E-04  5.329250E-01  9.702195E-01
  1.336801E-04  5.329258E-01  9.702062E-01
