  2.583147E+02  2.455602E-06 -2.212972E-09
  3.417820E+02  6.450435E-06  5.864081E-10
  3.724824E+02  1.408006E-05  4.483181E-07
  3.851714E+02  2.660541E-05  7.581228E-06
  3.910852E+02  4.522006E-05  4.336931E-05
  3.941384E+02  7.095502E-05  1.379691E-04
  3.958618E+02  1.046445E-04  3.103084E-04
  3.969185E+02  1.470491E-04  5.615455E-04
  3.976215E+02  1.990530E-04  8.812852E-04
  3.981290E+02  2.618015E-04  1.255756E-03
  3.985253E+02  3.367203E-04  1.672771E-03
  3.988582E+02  4.254473E-04  2.123468E-03
  3.991552E+02  5.297250E-04  2.602242E-03
  3.994334E+02  6.513001E-04  3.106007E-03
  3.997035E+02  7.918492E-04  3.633388E-03
  3.999724E+02  9.529384E-04  4.184069E-03
  4.002450E+02  1.136006E-03  4.758320E-03
  4.005248E+02  1.342369E-03  5.356698E-03
  4.008143E+02  1.573235E-03  5.979867E-03
  4.045319E+02  5.450329E-03  1.368633E-02
  4.102004E+02  1.277420E-02  2.419893E-02
  4.182156E+02  2.420371E-02  3.746277E-02
  4.288422E+02  4.004157E-02  5.331089E-02
  4.422182E+02  6.016021E-02  7.153009E-02
  4.583528E+02  8.403724E-02  9.187348E-02
  4.771449E+02  1.108740E-01  1.140634E-01
  4.984121E+02  1.397494E-01  1.377933E-01
  5.219230E+02  1.697583E-01  1.627331E-01
  5.474255E+02  2.001068E-01  1.885391E-01
  5.746664E+02  2.301577E-01  2.148686E-01
  6.034043E+02  2.594380E-01  2.413960E-01
  6.334154E+02  2.876219E-01  2.678256E-01
  6.644956E+02  3.145055E-01  2.939015E-01
  6.964601E+02  3.399783E-01  3.194125E-01
  7.291419E+02  3.639984E-01  3.441923E-01
  7.623903E+02  3.865717E-01  3.681174E-01
  7.960684E+02  4.077365E-01  3.911025E-01
  1.134169E+03  5.573029E-01  5.672385E-01
  1.432576E+03  6.371864E-01  6.694946E-01
  1.666745E+03  6.833901E-01  7.315161E-01
  1.835139E+03  7.116425E-01  7.716492E-01
  1.944906E+03  7.293238E-01  7.990186E-01
  2.005919E+03  7.402783E-01  8.184487E-01
  2.028239E+03  7.466988E-01  8.326825E-01
  2.021011E+03  7.499317E-01  8.433800E-01
  1.992032E+03  7.508547E-01  8.515975E-01
  1.947666E+03  7.500686E-01  8.580355E-01
  1.892946E+03  7.480007E-01  8.631737E-01
  1.831745E+03  7.449652E-01  8.673497E-01
  1.766974E+03  7.411987E-01  8.708062E-01
  1.700774E+03  7.368834E-01  8.737207E-01
  1.634679E+03  7.321616E-01  8.762252E-01
  1.569763E+03  7.271460E-01  8.784182E-01
  1.506750E+03  7.219264E-01  8.803746E-01
  1.446106E+03  7.165749E-01  8.821513E-01
  9.862943E+02  6.643759E-01  8.959827E-01
  7.248871E+02  6.237778E-01  9.081348E-01
  5.669056E+02  5.950905E-01  9.191905E-01
  4.634595E+02  5.750953E-01  9.286602E-01
  3.911541E+02  5.610403E-01  9.364769E-01
  3.380070E+02  5.510176E-01  9.428238E-01
  2.973906E+02  5.437634E-01  9.479535E-01
  2.653834E+02  5.384414E-01  9.521069E-01
  2.395316E+02  5.344921E-01  9.554874E-01
  2.182265E+02  5.315340E-01  9.582576E-01
  2.003720E+02  5.293028E-01  9.605448E-01
  1.851966E+02  5.276120E-01  9.624480E-01
  1.721418E+02  5.263279E-01  9.640438E-01
  1.607939E+02  5.253533E-01  9.653916E-01
  1.508399E+02  5.246162E-01  9.665381E-01
  1.420387E+02  5.240630E-01  9.675197E-01
  1.342017E+02  5.236533E-01  9.683656E-01
  1.271791E+02  5.233561E-01  9.690987E-01
  8.339966E+01  5.231917E-01  9.730242E-01
  6.198282E+01  5.243126E-01  9.744529E-01
  4.929405E+01  5.253765E-01  9.751153E-01
  4.090220E+01  5.262355E-01  9.754631E-01
  3.493075E+01  5.269110E-01  9.756579E-01
  3.044302E+01  5.274426E-01  9.757714E-01
  2.691812E+01  5.278637E-01  9.758397E-01
  2.404626E+01  5.281997E-01  9.758814E-01
  2.163576E+01  5.284699E-01  9.759059E-01
  1.956497E+01  5.286889E-01  9.759185E-01
  1.775498E+01  5.288677E-01  9.759220E-01
  1.615326E+01  5.290148E-01  9.759185E-01
  1.472369E+01  5.291369E-01  9.759095E-01
  1.344042E+01  5.292391E-01  9.758964E-01
  1.228407E+01  5.293253E-01  9.758801E-01
  1.123946E+01  5.293985E-01  9.758613E-01
  1.029418E+01  5.294612E-01  9.758409E-01
  9.437758E+00  5.295153E-01  9.758194E-01
  4.189204E+00  5.298023E-01  9.756005E-01
  2.064402E+00  5.299095E-01  9.754307E-01
  1.115970E+00  5.299627E-01  9.753082E-01
  6.505399E-01  5.299938E-01  9.752181E-01
  4.029589E-01  5.300140E-01  9.751496E-01
  2.622001E-01  5.300281E-01  9.750961E-01
  1.776574E-01  5.300384E-01  9.750532E-01
  1.245046E-01  5.300463E-01  9.750181E-01
  8.977611E-02  5.300525E-01  9.749888E-01
  6.632998E-02  5.300575E-01  9.749641E-01
  5.004848E-02  5.300616E-01  9.749430E-01
  3.846212E-02  5.300650E-01  9.749247E-01
  3.003826E-02  5.300680E-01  9.749087E-01
  2.379665E-02  5.300705E-01  9.748946E-01
  1.909348E-02  5.300727E-01  9.748821E-01
  1.549579E-02  5.300746E-01  9.748709E-01
  1.270621E-02  5.300763E-01  9.748608E-01
  1.051655E-02  5.300778E-01  9.748518E-01
