  5.740326E+01  2.455602E-06 -2.212972E-09
  7.595155E+01  6.450435E-06  5.864078E-10
  8.277386E+01  1.408006E-05  4.483181E-07
  8.559364E+01  2.660541E-05  7.581228E-06
  8.690781E+01  4.522006E-05  4.336931E-05
  8.758632E+01  7.095502E-05  1.379691E-04
  8.796929E+01  1.046445E-04  3.103084E-04
  8.820412E+01  1.470491E-04  5.615455E-04
  8.836034E+01  1.990530E-04  8.812852E-04
  8.847310E+01  2.618015E-04  1.255756E-03
  8.856119E+01  3.367203E-04  1.672771E-03
  8.863515E+01  4.254473E-04  2.123468E-03
  8.870117E+01  5.297250E-04  2.602242E-03
  8.876299E+01  6.513001E-04  3.106007E-03
  8.882299E+01  7.918492E-04  3.633388E-03
  8.888275E+01  9.529384E-04  4.184069E-03
  8.894334E+01  1.136006E-03  4.758320E-03
  8.900551E+01  1.342369E-03  5.356698E-03
  8.906984E+01  1.573235E-03  5.979867E-03
  8.989598E+01  5.450329E-03  1.368633E-02
  9.115565E+01  1.277420E-02  2.419893E-02
  9.293681E+01  2.420371E-02  3.746277E-02
  9.529827E+01  4.004157E-02  5.331089E-02
  9.827070E+01  6.016021E-02  7.153009E-02
  1.018562E+02  8.403724E-02  9.187348E-02
  1.060322E+02  1.108740E-01  1.140634E-01
  1.107582E+02  1.397494E-01  1.377933E-01
  1.159829E+02  1.697583E-01  1.627331E-01
  1.216501E+02  2.001068E-01  1.885391E-01
  1.277037E+02  2.301577E-01  2.148686E-01
  1.340899E+02  2.594380E-01  2.413960E-01
  1.407590E+02  2.876219E-01  2.678256E-01
  1.476657E+02  3.145055E-01  2.939015E-01
  1.547689E+02  3.399783E-01  3.194125E-01
  1.620315E+02  3.639984E-01  3.441923E-01
  1.694201E+02  3.865717E-01  3.681174E-01
  1.769041E+02  4.077365E-01  3.911025E-01
  2.520376E+02  5.573029E-01  5.672385E-01
  3.183503E+02  6.371864E-01  6.694946E-01
  3.703877E+02  6.833901E-01  7.315161E-01
  4.078088E+02  7.116425E-01  7.716492E-01
  4.322014E+02  7.293238E-01  7.990186E-01
  4.457597E+02  7.402783E-01  8.184487E-01
  4.507198E+02  7.466988E-01  8.326825E-01
  4.491137E+02  7.499317E-01  8.433800E-01
  4.426737E+02  7.508547E-01  8.515975E-01
  4.328146E+02  7.500686E-01  8.580355E-01
  4.206546E+02  7.480007E-01  8.631737E-01
  4.070545E+02  7.449652E-01  8.673497E-01
  3.926610E+02  7.411987E-01  8.708062E-01
  3.779497E+02  7.368834E-01  8.737207E-01
  3.632619E+02  7.321616E-01  8.762252E-01
  3.488362E+02  7.271460E-01  8.784182E-01
  3.348334E+02  7.219264E-01  8.803746E-01
  3.213569E+02  7.165749E-01  8.821513E-01
  2.191765E+02  6.643759E-01  8.959827E-01
  1.610860E+02  6.237778E-01  9.081348E-01
  1.259790E+02  5.950905E-01  9.191905E-01
  1.029910E+02  5.750953E-01  9.286602E-01
  8.692313E+01  5.610403E-01  9.364769E-01
  7.511267E+01  5.510176E-01  9.428238E-01
  6.608680E+01  5.437634E-01  9.479535E-01
  5.897409E+01  5.384414E-01  9.521069E-01
  5.322924E+01  5.344921E-01  9.554874E-01
  4.849477E+01  5.315340E-01  9.582576E-01
  4.452711E+01  5.293028E-01  9.605448E-01
  4.115479E+01  5.276120E-01  9.624480E-01
  3.825373E+01  5.263279E-01  9.640438E-01
  3.573198E+01  5.253533E-01  9.653916E-01
  3.351998E+01  5.246162E-01  9.665381E-01
  3.156416E+01  5.240630E-01  9.675197E-01
  2.982259E+01  5.236533E-01  9.683656E-01
  2.826202E+01  5.233561E-01  9.690987E-01
  1.853326E+01  5.231917E-01  9.730242E-01
  1.377396E+01  5.243126E-01  9.744529E-01
  1.095423E+01  5.253765E-01  9.751153E-01
  9.089377E+00  5.262355E-01  9.754631E-01
  7.762388E+00  5.269110E-01  9.756579E-01
  6.765115E+00  5.274426E-01  9.757714E-01
  5.981804E+00  5.278637E-01  9.758397E-01
  5.343614E+00  5.281997E-01  9.758814E-01
  4.807947E+00  5.284699E-01  9.759059E-01
  4.347772E+00  5.286889E-01  9.759185E-01
  3.945551E+00  5.288677E-01  9.759220E-01
  3.589612E+00  5.290148E-01  9.759185E-01
  3.271931E+00  5.291369E-01  9.759095E-01
  2.986760E+00  5.292391E-01  9.758964E-01
  2.729794E+00  5.293253E-01  9.758801E-01
  2.497658E+00  5.293985E-01  9.758613E-01
  2.287595E+00  5.294612E-01  9.758409E-01
  2.097280E+00  5.295153E-01  9.758194E-01
  9.309343E-01  5.298023E-01  9.756005E-01
  4.587560E-01  5.299095E-01  9.754307E-01
  2.479932E-01  5.299627E-01  9.753082E-01
  1.445644E-01  5.299938E-01  9.752181E-01
  8.954642E-02  5.300140E-01  9.751496E-01
  5.826669E-02  5.300281E-01  9.750961E-01
  3.947942E-02  5.300384E-01  9.750532E-01
  2.766769E-02  5.300463E-01  9.750181E-01
  1.995025E-02  5.300525E-01  9.749888E-01
  1.474000E-02  5.300575E-01  9.749641E-01
  1.112188E-02  5.300616E-01  9.749430E-01
  8.547138E-03  5.300650E-01  9.749247E-01
  6.675169E-03  5.300680E-01  9.749087E-01
  5.288145E-03  5.300705E-01  9.748946E-01
  4.242996E-03  5.300727E-01  9.748821E-01
  3.443510E-03  5.300746E-01  9.748709E-01
  2.823602E-03  5.300763E-01  9.748608E-01
  2.337011E-03  5.300778E-01  9.748518E-01
