  4.784632E+01  4.467370E-06 -2.210605E-09
  6.339895E+01  1.172159E-05  2.734827E-08
  6.913107E+01  2.557269E-05  2.256091E-06
  7.150444E+01  4.829853E-05  2.469980E-05
  7.261364E+01  8.202956E-05  1.073294E-04
  7.318951E+01  1.286527E-04  2.835616E-04
  7.351809E+01  1.899137E-04  5.599280E-04
  7.372334E+01  2.676840E-04  9.230200E-04
  7.386369E+01  3.641642E-04  1.353638E-03
  7.396866E+01  4.819111E-04  1.835336E-03
  7.405403E+01  6.237242E-04  2.356961E-03
  7.412868E+01  7.924847E-04  2.912131E-03
  7.419788E+01  9.910176E-04  3.497847E-03
  7.426486E+01  1.222002E-03  4.113185E-03
  7.433171E+01  1.487932E-03  4.758351E-03
  7.439985E+01  1.791118E-03  5.434086E-03
  7.447028E+01  2.133699E-03  6.141310E-03
  7.454372E+01  2.517673E-03  6.880939E-03
  7.462073E+01  2.944930E-03  7.653803E-03
  7.565636E+01  9.965726E-03  1.730987E-02
  7.730114E+01  2.294920E-02  3.051808E-02
  7.967640E+01  4.272664E-02  4.711669E-02
  8.285578E+01  6.923023E-02  6.682916E-02
  8.686453E+01  1.015123E-01  8.931936E-02
  9.168385E+01  1.380240E-01  1.142012E-01
  9.726172E+01  1.770053E-01  1.410408E-01
  1.035260E+02  2.168223E-01  1.693644E-01
  1.103959E+02  2.561638E-01  1.986767E-01
  1.177903E+02  2.940983E-01  2.284890E-01
  1.256320E+02  3.300398E-01  2.583475E-01
  1.338502E+02  3.636762E-01  2.878566E-01
  1.423803E+02  3.948913E-01  3.166910E-01
  1.511643E+02  4.236987E-01  3.446001E-01
  1.601497E+02  4.501925E-01  3.714039E-01
  1.692890E+02  4.745112E-01  3.969848E-01
  1.785392E+02  4.968148E-01  4.212777E-01
  1.878613E+02  5.172689E-01  4.442590E-01
  2.787930E+02  6.507567E-01  6.106365E-01
  3.545257E+02  7.148591E-01  7.012187E-01
  4.098095E+02  7.492882E-01  7.544927E-01
  4.457283E+02  7.687446E-01  7.882110E-01
  4.654588E+02  7.796310E-01  8.107368E-01
  4.725852E+02  7.851568E-01  8.263995E-01
  4.704097E+02  7.871149E-01  8.376344E-01
  4.616994E+02  7.865944E-01  8.459039E-01
  4.486407E+02  7.843025E-01  8.521326E-01
  4.328899E+02  7.807230E-01  8.569295E-01
  4.156600E+02  7.762016E-01  8.607085E-01
  3.978130E+02  7.709933E-01  8.637583E-01
  3.799431E+02  7.652912E-01  8.662841E-01
  3.624461E+02  7.592441E-01  8.684339E-01
  3.455736E+02  7.529686E-01  8.703154E-01
  3.294750E+02  7.465563E-01  8.720078E-01
  3.142283E+02  7.400799E-01  8.735689E-01
  2.998626E+02  7.335972E-01  8.750414E-01
  1.981247E+02  6.748134E-01  8.887430E-01
  1.441925E+02  6.320571E-01  9.025186E-01
  1.124407E+02  6.026630E-01  9.150491E-01
  9.186714E+01  5.823590E-01  9.255494E-01
  7.754827E+01  5.680650E-01  9.340352E-01
  6.704033E+01  5.577902E-01  9.408094E-01
  5.901324E+01  5.502614E-01  9.462141E-01
  5.268684E+01  5.446520E-01  9.505478E-01
  4.757523E+01  5.404134E-01  9.540490E-01
  4.336070E+01  5.371728E-01  9.569022E-01
  3.982707E+01  5.346711E-01  9.592480E-01
  3.682224E+01  5.327251E-01  9.611934E-01
  3.423616E+01  5.312022E-01  9.628203E-01
  3.198727E+01  5.300056E-01  9.641917E-01
  3.001387E+01  5.290629E-01  9.653562E-01
  2.826839E+01  5.283197E-01  9.663519E-01
  2.671364E+01  5.277346E-01  9.672089E-01
  2.532004E+01  5.272755E-01  9.679510E-01
  1.662284E+01  5.260238E-01  9.719105E-01
  1.236168E+01  5.265887E-01  9.733363E-01
  9.834511E+00  5.273260E-01  9.739824E-01
  8.160371E+00  5.279723E-01  9.743102E-01
  6.964319E+00  5.284979E-01  9.744873E-01
  6.058762E+00  5.289175E-01  9.745874E-01
  5.340264E+00  5.292511E-01  9.746453E-01
  4.748597E+00  5.295171E-01  9.746777E-01
  4.247509E+00  5.297302E-01  9.746929E-01
  3.814550E+00  5.299022E-01  9.746960E-01
  3.435333E+00  5.300422E-01  9.746899E-01
  3.100216E+00  5.301571E-01  9.746770E-01
  2.802384E+00  5.302522E-01  9.746591E-01
  2.536736E+00  5.303317E-01  9.746377E-01
  2.299245E+00  5.303988E-01  9.746137E-01
  2.086597E+00  5.304558E-01  9.745882E-01
  1.895976E+00  5.305047E-01  9.745617E-01
  1.724938E+00  5.305468E-01  9.745347E-01
  7.204915E-01  5.307730E-01  9.742879E-01
  3.416989E-01  5.308595E-01  9.741111E-01
  1.800767E-01  5.309033E-01  9.739875E-01
  1.031095E-01  5.309293E-01  9.738978E-01
  6.302780E-02  5.309464E-01  9.738304E-01
  4.059623E-02  5.309584E-01  9.737780E-01
  2.728600E-02  5.309673E-01  9.737361E-01
  1.899801E-02  5.309741E-01  9.737020E-01
  1.362514E-02  5.309795E-01  9.736736E-01
  1.002125E-02  5.309839E-01  9.736497E-01
  7.532272E-03  5.309875E-01  9.736293E-01
  5.769297E-03  5.309906E-01  9.736116E-01
  4.492683E-03  5.309931E-01  9.735961E-01
  3.550102E-03  5.309954E-01  9.735826E-01
  2.842044E-03  5.309973E-01  9.735705E-01
  2.301899E-03  5.309990E-01  9.735597E-01
  1.884104E-03  5.310005E-01  9.735501E-01
  1.556880E-03  5.310019E-01  9.735413E-01
