  1.365381E+03  3.469226E-06 -2.210639E-09
  1.809145E+03  9.102896E-06  2.712716E-08
  1.972697E+03  1.985807E-05  2.249413E-06
  2.040416E+03  3.747583E-05  2.469998E-05
  2.072065E+03  6.348315E-05  1.075395E-04
  2.088495E+03  9.909440E-05  2.844695E-04
  2.097866E+03  1.453959E-04  5.621443E-04
  2.103711E+03  2.036768E-04  9.270766E-04
  2.107698E+03  2.756277E-04  1.359911E-03
  2.110666E+03  3.633262E-04  1.844065E-03
  2.113065E+03  4.690870E-04  2.368297E-03
  2.115146E+03  5.952857E-04  2.926177E-03
  2.117060E+03  7.442196E-04  3.514687E-03
  2.118896E+03  9.180282E-04  4.132896E-03
  2.120713E+03  1.118666E-03  4.781018E-03
  2.122552E+03  1.347911E-03  5.459801E-03
  2.124438E+03  1.607389E-03  6.170180E-03
  2.126392E+03  1.898608E-03  6.913085E-03
  2.128428E+03  2.222989E-03  7.689358E-03
  2.155051E+03  7.573704E-03  1.738909E-02
  2.195971E+03  1.754318E-02  3.066124E-02
  2.253820E+03  3.289880E-02  4.734410E-02
  2.330083E+03  5.376122E-02  6.715787E-02
  2.425111E+03  7.957399E-02  8.975929E-02
  2.538246E+03  1.092728E-01  1.147506E-01
  2.668097E+03  1.415566E-01  1.416831E-01
  2.812849E+03  1.751441E-01  1.700679E-01
  2.970526E+03  2.089415E-01  1.993979E-01
  3.139171E+03  2.421127E-01  2.291783E-01
  3.316944E+03  2.740776E-01  2.589551E-01
  3.502159E+03  3.044736E-01  2.883372E-01
  3.693295E+03  3.331052E-01  3.170071E-01
  3.888986E+03  3.598972E-01  3.447234E-01
  4.088006E+03  3.848557E-01  3.713155E-01
  4.289258E+03  4.080385E-01  3.966743E-01
  4.491762E+03  4.295344E-01  4.207420E-01
  4.694639E+03  4.494485E-01  4.435004E-01
  6.610093E+03  5.843751E-01  6.082536E-01
  8.107852E+03  6.524074E-01  6.981835E-01
  9.121240E+03  6.897906E-01  7.512497E-01
  9.709718E+03  7.110986E-01  7.849679E-01
  9.963929E+03  7.230109E-01  8.076211E-01
  9.972300E+03  7.289993E-01  8.235089E-01
  9.809630E+03  7.310546E-01  8.350508E-01
  9.534586E+03  7.304078E-01  8.436971E-01
  9.190946E+03  7.278663E-01  8.503606E-01
  8.810171E+03  7.239841E-01  8.556385E-01
  8.414155E+03  7.191557E-01  8.599338E-01
  8.017650E+03  7.136692E-01  8.635248E-01
  7.630237E+03  7.077399E-01  8.666076E-01
  7.257836E+03  7.015304E-01  8.693220E-01
  6.903823E+03  6.951650E-01  8.717687E-01
  6.569847E+03  6.887391E-01  8.740207E-01
  6.256402E+03  6.823255E-01  8.761312E-01
  5.963238E+03  6.759802E-01  8.781383E-01
  3.926605E+03  6.216688E-01  8.959361E-01
  2.861255E+03  5.858984E-01  9.114435E-01
  2.234606E+03  5.634546E-01  9.241315E-01
  1.827973E+03  5.492587E-01  9.340009E-01
  1.544477E+03  5.401090E-01  9.415433E-01
  1.336118E+03  5.341056E-01  9.473058E-01
  1.176754E+03  5.301141E-01  9.517429E-01
  1.051028E+03  5.274410E-01  9.551978E-01
  9.493631E+02  5.256511E-01  9.579213E-01
  8.654852E+02  5.244639E-01  9.600950E-01
  7.951209E+02  5.236945E-01  9.618505E-01
  7.352600E+02  5.232184E-01  9.632842E-01
  6.837221E+02  5.229501E-01  9.644675E-01
  6.388901E+02  5.228300E-01  9.654534E-01
  5.995393E+02  5.228161E-01  9.662823E-01
  5.647256E+02  5.228781E-01  9.669850E-01
  5.337095E+02  5.229944E-01  9.675853E-01
  5.059036E+02  5.231488E-01  9.681017E-01
  3.322704E+02  5.252540E-01  9.708090E-01
  2.471397E+02  5.270286E-01  9.717725E-01
  1.966341E+02  5.282974E-01  9.722084E-01
  1.631702E+02  5.292090E-01  9.724254E-01
  1.392598E+02  5.298793E-01  9.725373E-01
  1.211553E+02  5.303827E-01  9.725957E-01
  1.067897E+02  5.307675E-01  9.726252E-01
  9.495944E+01  5.310657E-01  9.726371E-01
  8.493991E+01  5.312999E-01  9.726367E-01
  7.628242E+01  5.314859E-01  9.726272E-01
  6.869937E+01  5.316355E-01  9.726107E-01
  6.199807E+01  5.317571E-01  9.725888E-01
  5.604226E+01  5.318571E-01  9.725630E-01
  5.072996E+01  5.319401E-01  9.725344E-01
  4.598071E+01  5.320098E-01  9.725039E-01
  4.172823E+01  5.320687E-01  9.724723E-01
  3.791621E+01  5.321190E-01  9.724402E-01
  3.449581E+01  5.321623E-01  9.724080E-01
  1.440869E+01  5.323923E-01  9.721229E-01
  6.833448E+00  5.324792E-01  9.719231E-01
  3.601256E+00  5.325231E-01  9.717843E-01
  2.062031E+00  5.325491E-01  9.716840E-01
  1.260459E+00  5.325661E-01  9.716086E-01
  8.118621E-01  5.325781E-01  9.715501E-01
  5.456778E-01  5.325869E-01  9.715035E-01
  3.799308E-01  5.325937E-01  9.714654E-01
  2.724817E-01  5.325991E-01  9.714338E-01
  2.004094E-01  5.326035E-01  9.714072E-01
  1.506338E-01  5.326071E-01  9.713844E-01
  1.153770E-01  5.326101E-01  9.713648E-01
  8.984669E-02  5.326127E-01  9.713476E-01
  7.099654E-02  5.326149E-01  9.713325E-01
  5.683647E-02  5.326168E-01  9.713191E-01
  4.603440E-02  5.326185E-01  9.713071E-01
  3.767916E-02  5.326200E-01  9.712964E-01
  3.113519E-02  5.326214E-01  9.712866E-01
